whoregion,name,iso_a2,pesticide,other_poision,hanging,drowning,firearms,jumping
AFR,Mauritius,MU,11.9502,0.8226,33.6238,0.4904,0.4939,0.1645
AFR,Rodrigues,ROD,8.0365,0,23.9804,0,0,0
AFR,South Africa,ZA,0.2154,0.3475,1.6405,0.0102,0.184,0.008
AMR,Canada,CA,0.2814,17.1748,30.3154,1.9346,11.9188,3.4814
AMR,United States of America,US,0.3165,16.8653,20.8614,1.0947,52.499,2.1488
EMR,Bahrain,BH,0.1041,0.0962,30.2487,0.6169,0,0
EMR,Cyprus,CY,3.55,1.9875,8.1034,0.3599,4.6451,4.7333
EMR,Egypt,EG,0.1311,0.0606,0.2309,0.0123,0.2999,0.0015
EMR,Jordan,JO,0.017,0.0671,0.1507,0,0.0678,0
EMR,Kuwait,KW,0.845,0.0552,19.9334,0,0.0988,0.1965
EMR,Qatar,QA,0.0958,0.1535,19.5199,0,0.1253,0.1103
EUR,Armenia,AM,0.2314,0,2.0832,0.033,0.1322,0.0661
EUR,Austria,AT,0.654,16.1103,74.7968,7.6933,26.6412,17.8275
EUR,Azerbaijan,AZ,0.0582,0.0698,0.4544,0.0116,0.0116,0
EUR,Belgium,BE,2.5919,24.2616,95.1178,14.3756,20.2918,10.0937
EUR,Bulgaria,BG,2.5549,2.603,56.3062,0.4738,6.1466,9.9202
EUR,Croatia,HR,8.1815,15.8161,190.0298,20.2803,63.6251,19.5437
EUR,Czech Republic,CZ,2.0703,29.3064,177.6593,4.9198,29.7355,24.2741
EUR,Denmark,DK,1.1291,68.9516,93.2387,16.0099,25.2644,13.0666
EUR,Estonia,EE,2.2812,18.0502,302.0629,3.3816,30.6832,14.2764
EUR,Finland,FI,0.668,99.0541,101.5727,17.7459,67.2156,17.1728
EUR,France,FR,2.2869,28.428,88.4206,10.6681,29.6321,12.8918
EUR,Georgia,GE,0.5642,0.7903,17.5681,0.2712,0.8853,0.3596
EUR,Germany,DE,2.471,29.1758,93.2765,5.995,15.1731,17.8542
EUR,Hungary,HU,20.1903,59.4715,297.126,10.2574,15.2797,29.3073
EUR,Iceland,IS,0.9772,49.4925,61.3131,11.7782,24.2323,9.5807
EUR,Ireland,IE,0.1588,2.7463,23.4132,3.936,1.7683,0.6364
EUR,Israel,IL,1.0884,3.1751,34.1983,0.4713,14.6584,10.7651
EUR,Italy,IT,0.8098,1.9797,18.3095,1.7912,4.9739,8.2941
EUR,Kyrgyzstan,KG,3.5946,1.4745,86.5329,0.4569,1.5278,0.2959
EUR,Latvia,LV,7.0489,10.6941,376.1084,4.9878,24.9782,15.6374
EUR,Lithuania,LT,2.8038,11.4875,456.3513,3.1086,11.4479,9.2761
EUR,Luxembourg,LU,2.2098,36.3257,62.2504,6.38,23.7812,31.6918
EUR,Malta,MT,0.7797,9.3965,34.599,4.0516,12.509,29.1505
EUR,Netherlands,NL,1.8928,27.1293,66.2744,11.2882,4.6764,13.0529
EUR,Norway,NO,0.522,44.4418,73.679,12.8447,35.3811,10.1824
EUR,Poland,PL,0.6753,7.3509,179.7744,1.3742,1.7249,4.8303
EUR,Portugal,PT,7.9448,2.5147,32.5523,4.7386,7.1287,4.4618
EUR,Republic of Moldova,MD,17.788,3.7673,225.8553,9.166,4.9339,8.9279
EUR,Romania,RO,5.0151,5.3614,129.643,1.1328,1.151,1.9359
EUR,Serbia,RS,15.9649,7.9638,171.1067,11.1698,39.2082,8.6681
EUR,Slovakia,SK,3.0079,10.8551,127.8098,1.9664,19.7872,12.94
EUR,Slovenia,SI,5.9307,34.3988,229.2677,17.8933,35.9563,17.6013
EUR,Spain,ES,3.1548,6.5403,48.5253,4.395,5.6215,22.0434
EUR,Sweden,SE,0.3006,49.2621,70.8837,11.3317,20.7091,9.8564
EUR,TFYR Macedonia,TM,4.1511,2.6399,18.2205,3.1269,4.1523,1.4645
EUR,United Kingdom,GB,0.2501,16.3152,37.3704,2.0037,1.869,2.3208
EUR,Uzbekistan,UZ,0.2458,0.0689,8.342,0.0192,0.0573,0.0422
SEA,Maldives,MV,0,0.328,1.9978,0,0,0
SEA,Thailand,TH,2.529,1.5696,4.6968,0.015,0.6872,0.0256
WPR,Australia,AU,1.3496,41.3926,70.1407,2.9187,12.737,6.196
WPR,Brunei Darussalam,BN,0,0,1.1828,0,0,0
WPR,Fiji,FJ,3.0749,0,0,0,0,0
WPR,Hong Kong SAR,HK,1.9893,37.3502,35.371,4.5888,0.2343,81.2591
WPR,Japan,JP,9.3042,42.3738,259.4256,14.1117,0.5833,34.2724
WPR,Malaysia,MY,0.0621,0.0654,0.2017,0.0181,0.0073,0.029
WPR,New Zealand,NZ,1.0297,33.6654,63.4695,2.6092,11.0501,3.5863
WPR,Republic of Korea,KR,110.097,9.6659,153.3829,11.2265,0.7677,46.4237
